"","Date","alpha_rt","gamma_rt","delta_rt","other_nonVOC_rt","other_VOC_rt"
"1",2021-04-26,1.22214935909026,1.30528173319671,4.96796782084713,1.12861199021376,1.21285661130634
"2",2021-04-27,1.128472205072,1.26374944738052,4.58315671978925,1.01114012539911,1.12091248598048
"3",2021-04-28,1.05339201455791,1.22309841846882,4.28471780735139,0.921368094343259,1.04762289066481
"4",2021-04-29,0.9999298246828,1.1841976759895,4.41807667757984,0.861937796592246,0.995851690028388
"5",2021-04-30,0.962521257194144,1.14786202939693,5.76776290856817,0.823493133406589,0.959869717927719
"6",2021-05-01,0.937071071398036,1.11484812593396,9.3713354573082,0.800317511596565,0.935740679233726
"7",2021-05-02,0.925676303515396,1.08592746616661,16.0196047894275,0.792066609899547,0.92651130174567
"8",2021-05-03,0.91364870413758,1.06093016954321,21.2662771481411,0.777350345907124,0.917305253621037
"9",2021-05-04,0.887871720191428,1.03952865986725,20.7188530282527,0.739280735106856,0.894495286520276
"10",2021-05-05,0.859422966078587,1.02176879230569,15.9988276960786,0.699003433401057,0.868822927633914
"11",2021-05-06,0.838401761182897,1.00770769067728,10.7246406483232,0.672428189484057,0.850181583172681
"12",2021-05-07,0.828658508913568,0.997223321269473,6.56299764885433,0.665713610188711,0.842046248577027
"13",2021-05-08,0.828999720296287,0.990108059638805,3.92569563415715,0.67561343688931,0.843216522192101
"14",2021-05-09,0.837339304687153,0.986164936348165,2.70114212641671,0.695433114407342,0.85219414799715
"15",2021-05-10,0.839931472532411,0.984586047652213,2.36655260510276,0.705333854493481,0.856001609080636
"16",2021-05-11,0.826164078480965,0.984544365090337,2.3534033431923,0.691154192628633,0.844393753300327
"17",2021-05-12,0.80853687424077,0.985810714591757,2.31723184151507,0.671561603512215,0.82879553003438
"18",2021-05-13,0.796037287317244,0.988280926952238,2.20472739284186,0.658029697139084,0.817674354218706
"19",2021-05-14,0.789077495012549,0.991612401778171,2.02958158010572,0.652155401402671,0.811391824481725
"20",2021-05-15,0.789002827089019,0.995534741698786,1.83825347590917,0.657133540548696,0.810868879549686
"21",2021-05-16,0.791679810860603,0.999708639974563,1.68785657396492,0.666680626874454,0.811708190278534
"22",2021-05-17,0.788324414369967,1.00357803355833,1.611615708859,0.668263240816222,0.805403688261884
"23",2021-05-18,0.7675027525428,1.00614432823248,1.55834011756785,0.647860100535566,0.781979352567495
"24",2021-05-19,0.74752052578388,1.00739821353753,1.50659159616005,0.63102134818972,0.759129419913058
"25",2021-05-20,0.736254536801797,1.00735093688012,1.45024941370004,0.627195034426813,0.744403430108639
"26",2021-05-21,0.733120690606947,1.00595670364718,1.38783969636783,0.634463154884163,0.737470918544159
"27",2021-05-22,0.739053942419308,1.00333532531236,1.32676773145709,0.654385193305324,0.739637350051851
"28",2021-05-23,0.749435299200096,0.999497184436236,1.27833838039483,0.683778944370286,0.745855566614991
"29",2021-05-24,0.754777530824734,0.994239814552685,1.24727962420767,0.712552850740379,0.746062226333831
"30",2021-05-25,0.740491471896102,0.986893631454422,1.21430453110844,0.719450507037496,0.725760535681907
"31",2021-05-26,0.717414515960384,0.977518966132626,1.17155484663458,0.715440998089505,0.697231495531472
"32",2021-05-27,0.694871835076546,0.966473957776313,1.12168664962895,0.709823920857349,0.670405466963533
"33",2021-05-28,0.679692897294535,0.954158355062434,1.0707842994785,0.707295307490302,0.652370891329346
"34",2021-05-29,0.67911941110056,0.940985128042622,1.02739580096597,0.714794063843056,0.650684150774692
"35",2021-05-30,0.687241282323518,0.92710337184038,0.992186376197254,0.732700911243531,0.659312457165804
"36",2021-05-31,0.69309665137537,0.912526127876648,0.961458610165603,0.757320072916011,0.667037243923596
"37",2021-06-01,0.685395196434276,0.897096421747011,0.927685484554553,0.780108512534836,0.662344552832499
"38",2021-06-02,0.6724193254734,0.880917812686277,0.898373711952455,0.804001813409674,0.65357492208948
"39",2021-06-03,0.660736468241911,0.864032719271235,0.878666015221049,0.829587500148712,0.647204089091144
"40",2021-06-04,0.651767717609179,0.846378550073755,0.868827894101257,0.852187458364275,0.644259921348258
"41",2021-06-05,0.650986530206593,0.827946573244742,0.882100425310078,0.878596493473328,0.650286237900473
"42",2021-06-06,0.66090853748612,0.808654848352528,0.931831460626907,0.917415231103406,0.6684554522464
"43",2021-06-07,0.66697736668998,0.788096585451287,1.00784548197663,0.964635402523312,0.685979822036746
"44",2021-06-08,0.657846840665258,0.766185106360583,1.07167517042661,0.997439784747126,0.690552807932321
"45",2021-06-09,0.647152944454947,0.743690417580484,1.11760652908093,1.01682810060314,0.692633840132413
"46",2021-06-10,0.639632359101702,0.721151957763187,1.13315420008367,1.0187534716097,0.695167375516111
"47",2021-06-11,0.638970563424661,0.698947678119599,1.12227457818394,1.00712718468544,0.700951406385409
"48",2021-06-12,0.647252994659063,0.67707709044099,1.11357437182355,0.994995123613359,0.712611376212752
"49",2021-06-13,0.662030249756454,0.655301475508311,1.13576680117062,0.99289891977735,0.729057375254014
"50",2021-06-14,0.666044655871673,0.632932184830732,1.18736667852175,0.99165961984449,0.735713414715009
"51",2021-06-15,0.64791337466519,0.609864863779317,1.22983830180488,0.973226228662856,0.721690476576205
"52",2021-06-16,0.622209800184358,0.587205164457224,1.25284110777773,0.947033155695563,0.69990991103636
"53",2021-06-17,0.600855353765673,0.566164569335277,1.26206491544537,0.92313657267214,0.681306628681729
"54",2021-06-18,0.586209876930865,0.547605686028985,1.25454208404244,0.901091929028038,0.668118280958704
"55",2021-06-19,0.586832867936654,0.532008120923863,1.24066941042818,0.889625606585538,0.668225288100064
"56",2021-06-20,0.609382589328219,0.519453834109051,1.23793826595268,0.897426235700793,0.687555158011224
"57",2021-06-21,0.641908023993081,0.50869881611425,1.26433825514725,0.916709603855268,0.714094630775567
"58",2021-06-22,0.661619440227192,0.498051038723605,1.30478099330435,0.923966041818898,0.725498574139381
"59",2021-06-23,0.660524852866225,0.486487514339728,1.3620402589983,0.912872106572628,0.71372443261451
"60",2021-06-24,0.657359659820923,0.474293831425248,1.4485501340569,0.904008366505782,0.696771391489799
"61",2021-06-25,0.657871197992426,0.461867168827378,1.55112533502773,0.901113225208582,0.681572964281906
